id,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,SEASON
abde_nader_bos_18,Abdel Nader,BOS,24.0,48,0.688,10.9,97.1,107.3,-10.3,0.078,0.76,0.067,0.439,0.162,0.033,1093,1.0,3.1,0.336,2017-18
abde_nader_okc_19,Abdel Nader,OKC,25.0,61,0.623,11.4,96.4,105.8,-9.5,0.044,0.77,0.075,0.522,0.148,0.066,1512,1.5,3.5,0.423,2018-19
abde_nader_okc_20,Abdel Nader,OKC,26.0,55,0.673,15.8,100.9,105.2,-4.2,0.068,0.88,0.056,0.591,0.164,0.072,1835,2.2,4.8,0.468,2019-20
abde_nader_pho_21,Abdel Nader,PHX,27.0,24,0.667,14.8,106.7,101.7,5.0,0.078,1.0,0.088,0.605,0.183,0.092,757,2.4,4.8,0.491,2020-21
abde_nader_pho_22,Abdel Nader,PHX,28.0,14,0.786,10.4,95.1,96.0,-0.9,0.065,0.64,0.087,0.431,0.139,0.036,327,0.9,2.5,0.343,2021-22
ace_bailey_uta_26,Ace Bailey,UTA,19.0,72,0.264,27.6,109.8,120.4,-10.7,0.098,1.22,0.072,0.533,0.21,0.069,4337,5.5,12.4,0.443,2025-26
adam_mokoka_chi_20,Adam Mokoka,CHI,21.0,11,0.273,10.2,121.4,104.4,17.1,0.043,2.0,0.044,0.538,0.11,0.023,238,1.1,2.5,0.429,2019-20
adam_bal_mem_26,Adama Bal,MEM,22.0,8,0.125,30.2,99.6,130.0,-30.3,0.119,3.17,0.049,0.573,0.134,0.052,530,3.5,8.5,0.412,2025-26
adem_bona_phi_25,Adem Bona,PHI,22.0,58,0.207,15.6,107.4,114.0,-6.6,0.043,0.44,0.13,0.714,0.135,0.093,1900,2.3,3.3,0.703,2024-25
adem_bona_phi_26,Adem Bona,PHI,23.0,71,0.577,17.4,113.1,112.9,0.3,0.034,0.57,0.119,0.638,0.108,0.069,2625,1.8,3.1,0.595,2025-26
admi_schofield_was_20,Admiral Schofield,WAS,23.0,33,0.273,11.2,102.9,110.0,-7.1,0.057,2.14,0.059,0.502,0.118,0.035,791,1.1,2.8,0.38,2019-20
admi_schofield_orl_22,Admiral Schofield,ORL,25.0,38,0.263,12.3,100.3,113.8,-13.5,0.084,1.19,0.088,0.538,0.143,0.055,977,1.4,3.4,0.419,2021-22
admi_schofield_orl_23,Admiral Schofield,ORL,26.0,37,0.378,12.2,104.7,113.0,-8.3,0.103,1.94,0.068,0.587,0.139,0.055,941,1.5,3.3,0.451,2022-23
ajay_mitchell_okc_25,Ajay Mitchell,OKC,23.0,36,0.861,16.6,110.0,100.2,9.7,0.153,2.21,0.053,0.587,0.159,0.082,1254,2.5,5.1,0.495,2024-25
ajay_mitchell_okc_26,Ajay Mitchell,OKC,23.0,57,0.877,25.8,118.2,102.5,15.6,0.194,2.54,0.062,0.585,0.21,0.116,3149,5.0,10.4,0.485,2025-26
al_horford_bos_17,Al Horford,BOS,31.0,68,0.676,32.3,112.1,107.2,4.8,0.239,2.93,0.105,0.553,0.196,0.125,4464,5.6,11.8,0.473,2016-17
al_horford_bos_18,Al Horford,BOS,32.0,72,0.653,31.6,108.9,101.6,7.3,0.225,2.57,0.115,0.575,0.183,0.134,4617,5.1,10.5,0.489,2017-18
al_horford_bos_19,Al Horford,BOS,33.0,68,0.603,29.0,112.5,106.4,6.1,0.203,2.77,0.113,0.605,0.188,0.134,4146,5.7,10.6,0.535,2018-19
al_horford_phi_20,Al Horford,PHI,34.0,67,0.582,30.2,110.1,106.8,3.3,0.187,3.38,0.111,0.536,0.173,0.112,4241,4.8,10.6,0.45,2019-20
al_horford_bos_21,Al Horford,BOS,35.0,28,0.393,27.9,102.2,109.1,-6.9,0.206,3.24,0.114,0.538,0.221,0.131,1639,5.8,12.9,0.45,2020-21
al_horford_bos_22,Al Horford,BOS,36.0,69,0.667,29.1,112.8,103.4,9.3,0.159,3.57,0.13,0.574,0.147,0.123,4096,3.9,8.2,0.467,2021-22
