id,player,team,year,season,salary,salary_cap,salary_cap_pct,salary_tier,salary_pct_change,is_max,is_new_team,is_contract_year,is_moved_midseason,age,gp,w_pct,min,off_rating,def_rating,net_rating,ast_pct,ast_to,reb_pct,ts_pct,usg_pct,pie,poss,fgm_pg,fga_pg,fg_pct,total_minutes,analysis_sample
aaro_nesmith_ind_24,Aaron Nesmith,IND,2024,2023-24,5634257.0,136021000.0,4.14,bench,48.099995794299176,0,0,1,0,24.0,72,0.569,27.7,119.3,115.0,4.3,0.067,1.69,0.069,0.631,0.158,0.071,4249,4.4,8.8,0.496,1994.3999999999999,True
aaro_nesmith_ind_25,Aaron Nesmith,IND,2025,2024-25,11000000.0,140588000.0,7.82,bench,95.23426070198786,0,0,0,0,25.0,45,0.644,24.9,120.1,111.5,8.5,0.063,1.46,0.078,0.653,0.171,0.087,2373,4.3,8.4,0.507,1120.5,True
aaro_nesmith_ind_26,Aaron Nesmith,IND,2026,2025-26,11000000.0,154647000.0,7.11,bench,0.0,0,0,0,0,26.0,45,0.222,29.7,111.1,118.4,-7.3,0.091,1.37,0.067,0.554,0.19,0.067,2871,4.7,11.4,0.414,1336.5,True
aaro_wiggins_okc_23,Aaron Wiggins,OKC,2023,2022-23,1563518.0,123655000.0,1.26,bench,,0,0,0,0,24.0,70,0.529,18.5,112.7,111.2,1.5,0.084,1.43,0.079,0.607,0.143,0.077,2754,2.7,5.2,0.512,1295.0,True
aaro_wiggins_okc_24,Aaron Wiggins,OKC,2024,2023-24,1836096.0,136021000.0,1.35,bench,17.433633639011514,0,0,1,0,25.0,78,0.705,15.7,115.6,110.0,5.7,0.096,1.54,0.075,0.664,0.163,0.096,2556,2.7,4.8,0.562,1224.6,True
aaro_wiggins_okc_25,Aaron Wiggins,OKC,2025,2024-25,10514017.0,140588000.0,7.48,bench,472.6289366133361,0,0,0,0,26.0,76,0.816,22.9,120.7,106.6,14.2,0.102,1.94,0.081,0.596,0.2,0.105,3698,4.7,9.6,0.488,1740.3999999999999,True
aaro_wiggins_okc_26,Aaron Wiggins,OKC,2026,2025-26,10102803.0,154647000.0,6.53,bench,-3.9111026736974086,0,0,0,0,27.0,65,0.769,21.8,112.8,106.7,6.2,0.11,1.35,0.066,0.538,0.194,0.082,2986,3.6,8.2,0.431,1417.0,True
abde_nader_bos_18,Abdel Nader,BOS,2018,2017-18,1167333.0,99030000.0,1.18,bench,,0,0,0,0,24.0,48,0.688,10.9,97.1,107.3,-10.3,0.078,0.76,0.067,0.439,0.162,0.033,1093,1.0,3.1,0.336,523.2,True
abde_nader_okc_19,Abdel Nader,OKC,2019,2018-19,1378242.0,101869000.0,1.35,bench,18.067595107822697,0,1,0,0,25.0,61,0.623,11.4,96.4,105.8,-9.5,0.044,0.77,0.075,0.522,0.148,0.066,1512,1.5,3.5,0.423,695.4,True
abde_nader_okc_20,Abdel Nader,OKC,2020,2019-20,1618520.0,109140000.0,1.48,bench,17.43365823998979,0,0,0,0,26.0,55,0.673,15.8,100.9,105.2,-4.2,0.068,0.88,0.056,0.591,0.164,0.072,1835,2.2,4.8,0.468,869.0,True
