id,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT
delo_wright_tot_19,27.0,75,0.6,22.6,106.2,106.4,-0.1,0.217,3.22,0.074,0.523,0.172,0.109,3588,3.2,7.4,0.434
delo_wright_tot_21,29.0,63,0.333,27.7,108.3,111.8,-3.5,0.237,3.35,0.077,0.562,0.163,0.115,3610,3.8,8.2,0.463
delo_wright_tot_25,33.0,40,0.55,15.9,106.1,106.3,-0.2,0.162,3.5,0.051,0.44,0.111,0.061,1308,1.1,3.3,0.344
deng_adel_cle_19,22.0,19,0.211,10.2,100.0,109.5,-9.5,0.038,0.83,0.048,0.424,0.097,0.018,394,0.6,1.9,0.306
denn_schroder_tot_22,28.0,64,0.5,28.7,106.9,107.9,-1.0,0.256,2.07,0.057,0.539,0.223,0.098,3757,4.9,11.3,0.431
denn_schroder_tot_24,30.0,80,0.375,31.1,112.6,115.4,-2.8,0.281,3.19,0.048,0.55,0.202,0.095,5106,5.0,11.6,0.435
denn_schroder_tot_25,31.0,75,0.493,28.1,111.8,112.8,-0.9,0.287,2.85,0.046,0.531,0.211,0.091,4393,4.5,11.0,0.406
denn_schroder_tot_26,32.0,70,0.414,24.2,110.8,117.0,-6.2,0.294,2.75,0.054,0.526,0.21,0.094,3537,3.6,9.0,0.405
denn_smith_tot_19,21.0,53,0.396,28.5,102.4,107.7,-5.3,0.278,1.64,0.048,0.502,0.242,0.084,3191,5.2,12.3,0.428
denn_smith_tot_21,23.0,23,0.304,18.3,105.8,108.1,-2.2,0.276,2.96,0.065,0.492,0.191,0.093,857,2.5,6.3,0.4
derr_jones_pho_17,20.0,32,0.219,17.0,108.5,104.3,4.2,0.03,0.92,0.068,0.604,0.117,0.06,1155,2.1,3.8,0.562
derr_jones_tot_18,21.0,20,0.45,12.3,96.8,103.2,-6.5,0.056,1.29,0.072,0.48,0.124,0.046,494,1.1,2.7,0.396
derr_jones_dal_24,27.0,76,0.618,23.5,114.0,112.3,1.7,0.055,1.15,0.067,0.592,0.146,0.068,3781,3.1,6.5,0.483
derr_rose_tot_21,32.0,50,0.56,25.6,109.8,105.0,4.9,0.276,2.68,0.049,0.55,0.252,0.133,2622,5.7,12.2,0.47
derr_walton_det_22,27.0,3,0.333,36.1,103.5,103.0,0.5,0.269,1.91,0.04,0.342,0.142,0.048,231,2.0,8.7,0.231
derr_white_tot_22,27.0,75,0.533,29.3,111.3,106.4,4.9,0.231,3.08,0.056,0.549,0.196,0.101,4589,4.5,10.7,0.421
