feature,standardized_coefficient,feature_mean,feature_std
net_rating,10.30080720698561,0.11964345778674741,5.999443656852481
off_rating,-8.707200223696193,110.22213252606795,5.057892351093038
def_rating,7.456588842202737,110.10326269761184,4.335327170160134
fgm_pg,5.881454484485284,4.325563403969055,2.2393040745758097
age,3.056624043625832,26.629667003027244,4.2951667300107985
reb_pct,1.4095124254053821,0.09000941809619913,0.040310607593103356
usg_pct,-0.8701301614874538,0.18993340060544905,0.0551232445212749
fg_pct,-0.8640256013639614,0.4693942145980491,0.06985493589419964
gp,-0.7934514747287551,62.571812983518335,13.603707349797581
ast_pct,0.7792110095177822,0.14981197443659602,0.0878380230646147
w_pct,0.7395293996309248,0.506576522031618,0.14977484822288295
min,0.7354247016761757,24.78224016145308,6.978968990260047
pie,-0.3692903005437921,0.09889404641775984,0.03170167462092718
ts_pct,0.004579286609922742,0.5684571140262362,0.051152133821538506
