id,player,team,year,season,salary,salary_cap,salary_cap_pct,salary_tier,salary_pct_change,is_max,is_new_team,is_contract_year,is_moved_midseason
maso_plumlee_lac_23,Mason Plumlee,LAC,2023,2022-23,9080417.0,123655000.0,7.34,bench,11.58730568356374,0,1,0,0
maso_plumlee_tot_26,Mason Plumlee,TOT,2026,2025-26,3022108.0,154647000.0,1.95,bench,44.77032304855668,0,1,0,1
mati_thybulle_por_23,Matisse Thybulle,POR,2023,2022-23,4379527.0,123655000.0,3.54,bench,54.200009858599515,0,1,1,0
matt_barnes_sac_18,Matt Barnes,SAC,2018,2017-18,2133542.0,99030000.0,2.15,bench,-67.21839372215788,0,1,0,0
matt_barnes_sac_19,Matt Barnes,SAC,2019,2018-19,2133542.0,101869000.0,2.09,bench,0.0,0,0,0,0
matt_barnes_sac_20,Matt Barnes,SAC,2020,2019-20,2133541.0,109140000.0,1.95,bench,-4.687041548212534e-05,0,0,0,0
matt_thomas_uta_21,Matt Thomas,UTA,2021,2020-21,1517981.0,109140000.0,1.39,bench,,0,0,0,0
matt_dellavedova_cle_19,Matthew Dellavedova,CLE,2019,2018-19,9607500.0,101869000.0,9.43,starter,0.0,0,1,0,0
matt_dellavedova_sac_23,Matthew Dellavedova,SAC,2023,2022-23,1836090.0,123655000.0,1.48,bench,13.299443897309814,0,1,0,0
maur_harkless_nyk_20,Maurice Harkless,NYK,2020,2019-20,11511234.0,109140000.0,10.55,starter,6.220818358895408,0,1,0,0
maur_harkless_sac_21,Maurice Harkless,SAC,2021,2020-21,3623000.0,109140000.0,3.32,bench,-68.52639777803145,0,1,0,0
maur_harkless_hou_23,Maurice Harkless,HOU,2023,2022-23,4564980.0,123655000.0,3.69,bench,5.000000000000004,0,1,0,0
maur_ndour_tot_17,Maurice Ndour,TOT,2017,2016-17,980789.0,94143000.0,1.04,bench,,0,0,0,1
max_christie_dal_25,Max Christie,DAL,2025,2024-25,7142857.0,140588000.0,5.08,bench,315.31522259899623,0,1,0,0
maxw_lewis_brk_25,Maxwell Lewis,BRK,2025,2024-25,1891857.0,140588000.0,1.35,bench,,0,0,0,0
melv_frazier_orl_19,Melvin Frazier,ORL,2019,2018-19,1050000.0,101869000.0,1.03,bench,,0,0,1,0
melv_frazier_orl_20,Melvin Frazier,ORL,2020,2019-20,1416852.0,109140000.0,1.3,bench,34.93828571428572,0,0,0,0
mett_peace_lal_17,Metta World Peace,LAL,2017,2016-17,1551659.0,94143000.0,1.65,bench,,0,0,0,0
meye_leonard_por_18,Meyers Leonard,POR,2018,2017-18,9904495.0,99030000.0,10.0,starter,7.499996743902737,0,0,0,0
meye_leonard_okc_21,Meyers Leonard,OKC,2021,2020-21,9400000.0,109140000.0,8.61,starter,-16.714769793864626,0,1,0,0
mfio_kabengele_lac_20,Mfiondu Kabengele,LAC,2020,2019-20,1977000.0,109140000.0,1.81,bench,,0,0,1,0
mfio_kabengele_tot_21,Mfiondu Kabengele,TOT,2021,2020-21,2432353.0,109140000.0,2.23,bench,23.032524026302468,0,1,0,1
mich_beasley_tot_17,Michael Beasley,TOT,2017,2016-17,2181388.0,94143000.0,2.32,bench,,0,0,0,1
mich_beasley_lac_19,Michael Beasley,LAC,2019,2018-19,3500000.0,101869000.0,3.44,bench,137.8716064217178,0,1,0,0
mich_carter-williams_orl_22,Michael Carter-Williams,ORL,2022,2021-22,3300000.0,112414000.0,2.94,bench,0.0,0,0,0,0
mich_porter_den_19,Michael Porter,DEN,2019,2018-19,2894160.0,101869000.0,2.84,bench,,0,0,0,0
mika_bridges_brk_23,Mikal Bridges,BRK,2023,2022-23,20100000.0,123655000.0,16.25,star,261.6587722494366,0,1,0,0
mike_conley_min_23,Mike Conley,MIN,2023,2022-23,22680000.0,123655000.0,18.34,star,8.000000000000007,0,1,0,0
mike_conley_tot_26,Mike Conley,TOT,2026,2025-26,11499872.0,154647000.0,7.44,bench,15.27582001615484,0,1,0,1
mike_dunleavy_atl_17,Mike Dunleavy,ATL,2017,2016-17,4837500.0,94143000.0,5.14,bench,,0,0,0,0
mike_dunleavy_atl_18,Mike Dunleavy,ATL,2018,2017-18,1662500.0,99030000.0,1.68,bench,-65.63307493540051,0,0,0,0
mike_miller_den_17,Mike Miller,DEN,2017,2016-17,3500000.0,94143000.0,3.72,bench,,0,0,0,0
mike_muscala_lal_19,Mike Muscala,LAL,2019,2018-19,5000000.0,101869000.0,4.91,bench,0.0,0,1,0,0
mike_muscala_bos_23,Mike Muscala,BOS,2023,2022-23,3500000.0,123655000.0,2.83,bench,0.0,0,1,0,0
mike_scott_pho_17,Mike Scott,PHO,2017,2016-17,3333334.0,94143000.0,3.54,bench,,0,0,0,0
mike_scott_phi_19,Mike Scott,PHI,2019,2018-19,4320500.0,101869000.0,4.24,bench,193.63550729858056,0,1,0,0
mile_plumlee_mil_17,Miles Plumlee,MIL,2017,2016-17,12500000.0,94143000.0,13.28,starter,,0,0,0,0
mile_plumlee_atl_19,Miles Plumlee,ATL,2019,2018-19,12500000.0,101869000.0,12.27,starter,0.0,0,0,0,0
mile_plumlee_mem_20,Miles Plumlee,MEM,2020,2019-20,12500000.0,109140000.0,11.45,starter,0.0,0,1,0,0
mind_kuzminskas_nyk_18,Mindaugas Kuzminskas,NYK,2018,2017-18,3025035.0,99030000.0,3.05,bench,4.383540372670813,0,0,0,0
mirz_teletovic_mil_19,Mirza Teletović,MIL,2019,2018-19,3500000.0,101869000.0,3.44,bench,,0,0,0,0
mirz_teletovic_mil_20,Mirza Teletović,MIL,2020,2019-20,3500000.0,109140000.0,3.21,bench,0.0,0,0,0,0
mitc_mcgary_okc_17,Mitch McGary,OKC,2017,2016-17,1526040.0,94143000.0,1.62,bench,,0,0,0,0
miye_oni_uta_21,Miye Oni,UTA,2021,2020-21,1517981.0,109140000.0,1.39,bench,,0,0,0,0
mo_williams_den_17,Mo Williams,DEN,2017,2016-17,2200000.0,94143000.0,2.34,bench,,0,0,0,0
moha_bamba_orl_19,Mohamed Bamba,ORL,2019,2018-19,4865040.0,101869000.0,4.78,bench,,0,0,0,0
moha_bamba_orl_20,Mohamed Bamba,ORL,2020,2019-20,5697600.0,109140000.0,5.22,bench,17.11311726111193,0,0,0,0
moha_bamba_orl_21,Mohamed Bamba,ORL,2021,2020-21,5969040.0,109140000.0,5.47,bench,4.76411120471778,0,0,1,0
moha_bamba_orl_22,Mohamed Bamba,ORL,2022,2021-22,7568742.0,112414000.0,6.73,bench,26.79998793775884,0,0,1,0
moha_bamba_lal_23,Mohamed Bamba,LAL,2023,2022-23,10300000.0,123655000.0,8.33,starter,36.08602327837307,0,1,0,0
moha_bamba_phi_24,Mohamed Bamba,PHI,2024,2023-24,2019706.0,136021000.0,1.48,bench,-80.39120388349514,0,1,0,0
moha_bamba_tot_25,Mohamed Bamba,TOT,2025,2024-25,2207491.0,140588000.0,1.57,bench,9.29764034963505,0,1,0,1
mont_ellis_ind_18,Monta Ellis,IND,2018,2017-18,2245400.0,99030000.0,2.27,bench,-79.15134633240483,0,0,0,0
mont_ellis_ind_19,Monta Ellis,IND,2019,2018-19,2245400.0,101869000.0,2.2,bench,0.0,0,0,0,0
mont_ellis_ind_20,Monta Ellis,IND,2020,2019-20,2245400.0,109140000.0,2.06,bench,0.0,0,0,0,0
mont_ellis_ind_21,Monta Ellis,IND,2021,2020-21,2245400.0,109140000.0,2.06,bench,0.0,0,0,0,0
mont_ellis_ind_22,Monta Ellis,IND,2022,2021-22,2245400.0,112414000.0,2.0,bench,0.0,0,0,0,0
mont_morris_min_24,Monte Morris,MIN,2024,2023-24,9800926.0,136021000.0,7.21,bench,7.407408219178091,0,1,0,0
mont_harrell_cho_22,Montrezl Harrell,CHO,2022,2021-22,9720900.0,112414000.0,8.65,starter,5.000000000000004,0,1,0,0
mont_harrell_phi_24,Montrezl Harrell,PHI,2024,2023-24,2019706.0,136021000.0,1.48,bench,-18.014442924468945,0,0,0,0
mose_brown_okc_21,Moses Brown,OKC,2021,2020-21,1250000.0,109140000.0,1.15,bench,,0,0,1,0
mose_brown_tot_22,Moses Brown,TOT,2022,2021-22,1912639.0,112414000.0,1.7,bench,53.01111999999999,0,1,0,1
mose_brown_por_24,Moses Brown,POR,2024,2023-24,2019706.0,136021000.0,1.48,bench,5.597867658246014,0,1,0,0
n'fa_dante_atl_26,N'Faly Dante,ATL,2026,2025-26,2048494.0,154647000.0,1.32,bench,,0,0,0,0
nass_little_pho_25,Nassir Little,PHO,2025,2024-25,3107143.0,140588000.0,2.21,bench,-50.285712,0,0,0,0
nass_little_pho_26,Nassir Little,PHO,2026,2025-26,3107143.0,154647000.0,2.01,bench,0.0,0,0,0,0
nath_knight_min_23,Nathan Knight,MIN,2023,2022-23,1836090.0,123655000.0,1.48,bench,,0,0,0,0
nema_bjelica_mia_21,Nemanja Bjelica,MIA,2021,2020-21,7150000.0,109140000.0,6.55,bench,4.761904761904767,0,1,0,0
nene_hilario_hou_17,Nene Hilario,HOU,2017,2016-17,2898000.0,94143000.0,3.08,bench,,0,0,0,0
nene_hilario_hou_18,Nene Hilario,HOU,2018,2017-18,3477600.0,99030000.0,3.51,bench,19.999999999999996,0,0,0,0
nene_hilario_hou_19,Nenê Hilário,HOU,2019,2018-19,3651480.0,101869000.0,3.58,bench,,0,0,0,0
nene_hilario_atl_20,Nenê Hilário,ATL,2020,2019-20,2564753.0,109140000.0,2.35,bench,-29.761274880322496,0,1,0,0
nerl_noel_dal_17,Nerlens Noel,DAL,2017,2016-17,4384490.0,94143000.0,4.66,bench,,0,0,0,0
nick_collison_okc_17,Nick Collison,OKC,2017,2016-17,3750000.0,94143000.0,3.98,bench,,0,0,0,0
nick_collison_okc_18,Nick Collison,OKC,2018,2017-18,2328652.0,99030000.0,2.35,bench,-37.902613333333335,0,0,0,0
nick_johnson_den_17,Nick Johnson,DEN,2017,2016-17,980431.0,94143000.0,1.04,bench,,0,0,0,0
nick_richards_cho_22,Nick Richards,CHO,2022,2021-22,1517981.0,112414000.0,1.35,bench,,0,0,0,0
nick_richards_pho_25,Nick Richards,PHO,2025,2024-25,5000000.0,140588000.0,3.56,bench,0.0,0,1,0,0
nick_richards_chi_26,Nick Richards,CHI,2026,2025-26,5000000.0,154647000.0,3.23,bench,0.0,0,1,0,0
nick_smith_cho_26,Nick Smith Jr.,CHO,2026,2025-26,2710680.0,154647000.0,1.75,bench,,0,0,0,0
nick_alexander-walker_uta_22,Nickeil Alexander-Walker,UTA,2022,2021-22,3261480.0,112414000.0,2.9,bench,4.764290945534433,0,1,1,0
nick_alexander-walker_min_23,Nickeil Alexander-Walker,MIN,2023,2022-23,5009633.0,123655000.0,4.05,bench,53.59999141494045,0,1,0,0
nico_batum_tot_21,Nicolas Batum,TOT,2021,2020-21,10477533.0,109140000.0,9.6,starter,-59.016451923721206,0,1,0,1
nico_batum_tot_22,Nicolas Batum,TOT,2022,2021-22,12026998.0,112414000.0,10.7,starter,14.788452587073683,0,0,1,1
nico_batum_tot_23,Nicolas Batum,TOT,2023,2022-23,19700319.0,123655000.0,15.93,star,63.80080049901065,0,0,0,1
nico_batum_phi_24,Nicolas Batum,PHI,2024,2023-24,11710818.0,136021000.0,8.61,starter,-40.55518593379123,0,1,0,0
nico_melli_dal_21,Nicolò Melli,DAL,2021,2020-21,3897436.0,109140000.0,3.57,bench,-4.999995124999879,0,1,0,0
nige_hayes-davis_mil_26,Nigel Hayes-Davis,MIL,2026,2025-26,2048494.0,154647000.0,1.32,bench,,0,0,0,0
nige_williams-goss_uta_20,Nigel Williams-Goss,UTA,2020,2019-20,1500000.0,109140000.0,1.37,bench,,0,0,0,0
nik_stauskas_brk_18,Nik Stauskas,BRK,2018,2017-18,3807147.0,99030000.0,3.84,bench,27.20000400930158,0,1,0,0
